,date,region,region name,week,P,pop,incidence,Auto-test,Isolement,Symptômes,Contagion,Fièvre,Contact tracing,Autotests COVID,Essoufflement,Maux de tête,Toux,Système immunitaire,Diarrhée,Urgences,Fatigue,Dépression,Hôpital,Variant omicron,Anxiété,Gamma,Soins à domicile,Voyages,Green Pass,Télétravail,Coronavirus,Soins intensifs,Tests PCR,Tests antigéniques,Certificat sanitaire,Ventilation,Perte de goût,Frontières,Quarantaine,Restrictions,Distanciation sociale,Alpha,Chômage,Gel hydroalcoolique,Réanimation,Aéroports
0,2020-05-11,M,Lorraine,2020-S20,24200,230742500,10.487881512941916,36.0,9,41,7,86,0.0,0.0,0,17,26,0,53,29,42,34,35,0,0,32,0.0,38,0.0,52,98,34.0,55.0,0.0,0,53,0.0,51,0,0,0,47,100,92,61,22
1,2020-05-18,M,Lorraine,2020-S21,37800,230742500,16.381897569801836,33.0,6,31,14,60,0.0,0.0,39,0,20,0,33,47,37,31,47,0,13,42,0.0,28,25.0,43,75,0.0,0.0,0.0,0,40,31.0,42,0,0,22,63,60,68,33,36
2,2020-05-25,M,Lorraine,2020-S22,18100,230742500,7.844241958026805,37.0,14,34,26,41,100.0,75.0,23,69,17,31,47,52,43,0,60,0,10,61,0.0,23,0.0,31,60,21.0,0.0,41.0,39,41,0.0,86,51,0,0,62,62,48,0,23
3,2020-06-01,M,Lorraine,2020-S23,26700,230742500,11.57134034692352,0.0,5,29,12,36,0.0,0.0,0,31,21,29,40,32,70,33,77,0,0,61,0.0,42,0.0,32,43,37.0,0.0,0.0,0,41,0.0,100,40,0,21,44,56,29,31,0
4,2020-06-08,M,Lorraine,2020-S24,23700,230742500,10.271189746145597,28.0,6,23,23,21,0.0,0.0,0,0,12,58,45,47,45,20,43,0,21,61,24.0,10,0.0,19,39,0.0,0.0,0.0,0,9,0.0,93,61,18,0,66,50,19,38,0
5,2020-06-15,M,Lorraine,2020-S25,16900,230742500,7.324181717715636,0.0,10,38,25,21,29.0,68.0,83,0,0,0,44,40,69,46,65,0,26,75,18.0,58,0.0,44,39,22.0,31.0,0.0,0,15,0.0,53,23,0,0,76,69,26,0,16
6,2020-06-22,M,Lorraine,2020-S26,8600,230742500,3.7270983888967137,0.0,9,37,35,61,0.0,0.0,20,0,14,0,60,25,52,32,47,0,45,33,0.0,41,40.0,44,38,0.0,0.0,0.0,0,33,26.0,52,53,0,24,52,71,10,54,15
7,2020-06-29,M,Lorraine,2020-S27,7400,230742500,3.2070381485855446,0.0,0,41,14,0,0.0,19.0,0,57,5,26,61,44,72,15,78,0,23,11,0.0,52,34.0,15,33,66.0,0.0,0.0,0,25,0.0,42,66,7,34,49,31,15,0,0
8,2020-07-06,M,Lorraine,2020-S28,7100,230742500,3.0770230885077523,0.0,0,37,16,0,0.0,0.0,29,0,0,0,40,41,56,25,86,0,16,46,0.0,48,38.0,20,34,81.0,0.0,0.0,0,39,0.0,39,55,10,0,30,30,13,81,0
9,2020-07-13,M,Lorraine,2020-S29,18900,230742500,8.190948784900918,0.0,8,25,9,51,0.0,0.0,0,0,25,0,48,24,46,31,81,0,19,37,0.0,30,0.0,13,38,33.0,0.0,0.0,28,0,0.0,46,43,9,0,58,30,17,49,0
10,2020-07-20,M,Lorraine,2020-S30,18700,230742500,8.104272078182388,0.0,0,41,0,0,0.0,0.0,0,28,10,0,55,31,71,0,65,9,36,38,0.0,46,0.0,12,37,0.0,33.0,0.0,0,35,0.0,35,30,23,0,46,47,0,0,0
11,2020-07-27,M,Lorraine,2020-S31,23700,230742500,10.271189746145597,0.0,0,33,0,68,0.0,20.0,42,0,9,0,52,55,38,43,58,0,49,36,0.0,46,0.0,10,34,0.0,0.0,64.0,19,39,23.0,17,37,15,0,68,53,19,20,0
12,2020-08-03,M,Lorraine,2020-S32,30300,230742500,13.131521067857028,0.0,6,35,38,41,0.0,0.0,100,63,24,0,61,30,55,0,88,0,0,31,19.0,63,0.0,21,29,0.0,46.0,0.0,0,79,0.0,20,0,25,0,68,29,18,43,0
13,2020-08-10,M,Lorraine,2020-S33,30600,230742500,13.26153612793482,0.0,5,20,26,42,0.0,0.0,0,0,24,47,60,50,60,27,67,0,0,16,0.0,62,0.0,12,27,50.0,60.0,0.0,0,44,0.0,13,78,17,45,63,22,5,53,28
