,region,week,date,P,pop,incidence
0,A,2020-S20,2020-05-11,15000,189581100,7.912181119320438
1,A,2020-S21,2020-05-18,18200,189581100,9.600113091442132
2,A,2020-S22,2020-05-25,16700,189581100,8.80889497951009
3,A,2020-S23,2020-06-01,8300,189581100,4.378073552690643
4,A,2020-S24,2020-06-08,6700,189581100,3.534107566629796
5,A,2020-S25,2020-06-15,6900,189581100,3.6396033148874016
6,A,2020-S26,2020-06-22,6400,189581100,3.375863944243387
7,A,2020-S27,2020-06-29,6000,189581100,3.164872447728176
8,A,2020-S28,2020-07-06,6400,189581100,3.375863944243387
9,A,2020-S29,2020-07-13,12300,189581100,6.48798851784276
10,A,2020-S30,2020-07-20,11400,189581100,6.013257650683533
11,A,2020-S31,2020-07-27,15200,189581100,8.017676867578045
12,A,2020-S32,2020-08-03,15600,189581100,8.228668364093256
13,A,2020-S33,2020-08-10,23600,189581100,12.44849829439749
14,A,2020-S34,2020-08-17,47500,189581100,25.05524021118139
15,A,2020-S35,2020-08-24,60700,189581100,32.017959596183374
16,A,2020-S36,2020-08-31,68400,189581100,36.0795459041012
17,A,2020-S37,2020-09-07,87800,189581100,46.312633485088966
18,A,2020-S38,2020-09-14,92700,189581100,48.89727931740031
19,A,2020-S39,2020-09-21,81900,189581100,43.2005089114896
20,A,2020-S40,2020-09-28,72200,189581100,38.083965120995714
21,A,2020-S41,2020-10-05,162100,189581100,85.50430396278954
22,A,2020-S42,2020-10-12,308700,189581100,162.83268743561464
23,A,2020-S43,2020-10-19,676400,189581100,356.78662060722297
24,A,2020-S44,2020-10-26,974100,189581100,513.8170418886692
25,A,2020-S45,2020-11-02,920000,189581100,485.2804419849869
26,A,2020-S46,2020-11-09,486500,189581100,256.6184076366262
27,A,2020-S47,2020-11-16,358800,189581100,189.25937237414487
28,A,2020-S48,2020-11-23,238000,189581100,125.53994042655096
29,A,2020-S49,2020-11-30,239500,189581100,126.331158538483
30,A,2020-S50,2020-12-07,264100,189581100,139.30713557416854
31,A,2020-S51,2020-12-14,332100,189581100,175.17568998175452
32,A,2020-S52,2020-12-21,285400,189581100,150.54243276360356
33,A,2020-S53,2020-12-28,385500,189581100,203.3430547665353
34,A,2021-S01,2020-12-28,388000,189581100,204.66175161975536
35,A,2021-S02,2021-01-04,349200,189581100,184.19557645777985
36,A,2021-S03,2021-01-11,406300,189581100,214.3146125853263
37,A,2021-S04,2021-01-18,385500,189581100,203.3430547665353
38,A,2021-S05,2021-01-25,333600,189581100,175.96690809368656
39,A,2021-S06,2021-02-01,265500,189581100,140.04560581197177
40,A,2021-S07,2021-02-08,256700,189581100,135.4037928886371
41,A,2021-S08,2021-02-15,247900,189581100,130.76197996530246
42,A,2021-S09,2021-02-22,267800,189581100,141.25880691693425
43,A,2021-S10,2021-03-01,302900,189581100,159.77331073614403
44,A,2021-S11,2021-03-08,366700,189581100,193.42645443032032
