,date,Auto-test,Isolement,Symptômes,Contagion,Fièvre,Contact tracing,Autotests COVID,Essoufflement,Maux de tête,Toux,Système immunitaire,Diarrhée,Urgences,Fatigue,Dépression,Hôpital,Variant omicron,Anxiété,Gamma,Soins à domicile,Voyages,Green Pass,Télétravail,Coronavirus,Soins intensifs,Tests PCR,Tests antigéniques,Certificat sanitaire,Ventilation,Perte de goût,Frontières,Quarantaine,Restrictions,Distanciation sociale,Alpha,Chômage,Gel hydroalcoolique,Réanimation,Aéroports,region,region name
0,2020-05-03,0.0,3,38,31,34,0.0,0.0,55,0,17,32,35,42,43,43,43,0,25,12,0.0,19,0.0,49,100,19.0,0.0,0.0,0,31,40.0,61,62,25,33,78,91,100,40,0,M,Lorraine
1,2020-05-10,36.0,9,41,7,86,0.0,0.0,0,17,26,0,53,29,42,34,35,0,0,32,0.0,38,0.0,52,98,34.0,55.0,0.0,0,53,0.0,51,0,0,0,47,100,92,61,22,M,Lorraine
2,2020-05-17,33.0,6,31,14,60,0.0,0.0,39,0,20,0,33,47,37,31,47,0,13,42,0.0,28,25.0,43,75,0.0,0.0,0.0,0,40,31.0,42,0,0,22,63,60,68,33,36,M,Lorraine
3,2020-05-24,37.0,14,34,26,41,100.0,75.0,23,69,17,31,47,52,43,0,60,0,10,61,0.0,23,0.0,31,60,21.0,0.0,41.0,39,41,0.0,86,51,0,0,62,62,48,0,23,M,Lorraine
4,2020-05-31,0.0,5,29,12,36,0.0,0.0,0,31,21,29,40,32,70,33,77,0,0,61,0.0,42,0.0,32,43,37.0,0.0,0.0,0,41,0.0,100,40,0,21,44,56,29,31,0,M,Lorraine
5,2020-06-07,28.0,6,23,23,21,0.0,0.0,0,0,12,58,45,47,45,20,43,0,21,61,24.0,10,0.0,19,39,0.0,0.0,0.0,0,9,0.0,93,61,18,0,66,50,19,38,0,M,Lorraine
6,2020-06-14,0.0,10,38,25,21,29.0,68.0,83,0,0,0,44,40,69,46,65,0,26,75,18.0,58,0.0,44,39,22.0,31.0,0.0,0,15,0.0,53,23,0,0,76,69,26,0,16,M,Lorraine
7,2020-06-21,0.0,9,37,35,61,0.0,0.0,20,0,14,0,60,25,52,32,47,0,45,33,0.0,41,40.0,44,38,0.0,0.0,0.0,0,33,26.0,52,53,0,24,52,71,10,54,15,M,Lorraine
8,2020-06-28,0.0,0,41,14,0,0.0,19.0,0,57,5,26,61,44,72,15,78,0,23,11,0.0,52,34.0,15,33,66.0,0.0,0.0,0,25,0.0,42,66,7,34,49,31,15,0,0,M,Lorraine
9,2020-07-05,0.0,0,37,16,0,0.0,0.0,29,0,0,0,40,41,56,25,86,0,16,46,0.0,48,38.0,20,34,81.0,0.0,0.0,0,39,0.0,39,55,10,0,30,30,13,81,0,M,Lorraine
10,2020-07-12,0.0,8,25,9,51,0.0,0.0,0,0,25,0,48,24,46,31,81,0,19,37,0.0,30,0.0,13,38,33.0,0.0,0.0,28,0,0.0,46,43,9,0,58,30,17,49,0,M,Lorraine
11,2020-07-19,0.0,0,41,0,0,0.0,0.0,0,28,10,0,55,31,71,0,65,9,36,38,0.0,46,0.0,12,37,0.0,33.0,0.0,0,35,0.0,35,30,23,0,46,47,0,0,0,M,Lorraine
12,2020-07-26,0.0,0,33,0,68,0.0,20.0,42,0,9,0,52,55,38,43,58,0,49,36,0.0,46,0.0,10,34,0.0,0.0,64.0,19,39,23.0,17,37,15,0,68,53,19,20,0,M,Lorraine
13,2020-08-02,0.0,6,35,38,41,0.0,0.0,100,63,24,0,61,30,55,0,88,0,0,31,19.0,63,0.0,21,29,0.0,46.0,0.0,0,79,0.0,20,0,25,0,68,29,18,43,0,M,Lorraine
14,2020-08-09,0.0,5,20,26,42,0.0,0.0,0,0,24,47,60,50,60,27,67,0,0,16,0.0,62,0.0,12,27,50.0,60.0,0.0,0,44,0.0,13,78,17,45,63,22,5,53,28,M,Lorraine
15,2020-08-16,0.0,11,26,10,45,0.0,0.0,0,0,30,0,72,33,54,23,44,0,43,19,0.0,38,0.0,38,26,0.0,0.0,0.0,0,28,0.0,9,21,17,0,52,30,27,30,0,M,Lorraine
16,2020-08-23,0.0,27,24,0,21,0.0,0.0,62,83,18,0,37,43,69,33,80,0,0,37,0.0,33,0.0,47,27,26.0,0.0,41.0,0,29,41.0,25,67,27,32,42,36,18,49,50,M,Lorraine
17,2020-08-30,0.0,0,34,0,21,50.0,0.0,0,0,29,0,46,44,67,16,54,0,0,61,38.0,31,0.0,22,27,0.0,0.0,0.0,24,32,0.0,33,36,0,26,51,29,21,0,40,M,Lorraine
18,2020-09-06,0.0,12,44,0,32,0.0,0.0,48,47,19,0,69,54,53,36,41,5,0,31,0.0,59,35.0,32,28,0.0,0.0,0.0,20,61,0.0,34,96,8,0,79,20,28,60,0,M,Lorraine
19,2020-09-13,0.0,8,48,30,53,0.0,0.0,0,31,45,0,49,30,81,40,69,0,42,32,0.0,47,0.0,0,27,25.0,0.0,31.0,0,44,0.0,19,89,19,0,70,18,24,0,0,M,Lorraine
20,2020-09-20,0.0,10,39,14,47,0.0,100.0,0,52,42,24,31,39,79,22,62,0,21,45,0.0,55,0.0,47,26,0.0,0.0,0.0,0,26,0.0,25,22,16,29,73,27,10,60,0,M,Lorraine
21,2020-09-27,32.0,6,38,12,0,0.0,0.0,37,0,43,0,47,57,66,19,60,0,31,89,0.0,48,0.0,31,25,0.0,0.0,0.0,0,41,0.0,39,0,25,0,61,46,15,52,0,M,Lorraine
22,2020-10-04,0.0,18,30,9,16,26.0,0.0,24,22,32,0,44,44,67,31,69,0,24,22,0.0,32,0.0,0,24,0.0,30.0,27.0,0,35,0.0,16,55,25,24,74,34,14,30,0,M,Lorraine
23,2020-10-11,0.0,7,40,28,56,0.0,0.0,0,0,27,68,53,49,56,32,65,0,28,21,0.0,25,0.0,21,33,0.0,0.0,0.0,23,73,0.0,29,65,25,0,54,37,12,0,0,M,Lorraine
24,2020-10-18,0.0,8,51,34,37,0.0,0.0,39,42,31,0,32,45,74,23,72,0,14,38,0.0,19,0.0,23,37,0.0,100.0,52.0,0,38,24.0,15,20,52,82,60,33,0,53,0,M,Lorraine
25,2020-10-25,0.0,11,38,52,59,0.0,0.0,0,52,26,0,31,13,52,19,46,0,14,11,41.0,26,0.0,100,50,0.0,0.0,0.0,0,54,0.0,41,61,52,37,77,66,13,92,0,M,Lorraine
26,2020-11-01,0.0,4,41,23,44,0.0,0.0,0,0,39,59,51,52,55,55,60,0,28,42,0.0,10,0.0,44,39,0.0,0.0,14.0,48,43,0.0,18,0,24,32,57,31,11,44,0,M,Lorraine
27,2020-11-08,0.0,0,48,30,36,0.0,0.0,0,36,21,41,30,34,58,29,63,0,44,31,0.0,27,0.0,29,34,0.0,0.0,0.0,42,31,0.0,8,45,12,0,42,30,19,37,0,M,Lorraine
28,2020-11-15,0.0,0,40,11,50,0.0,0.0,28,23,28,0,39,20,56,0,37,0,0,35,0.0,33,0.0,8,24,0.0,0.0,0.0,0,59,0.0,20,30,16,29,72,33,36,84,0,M,Lorraine
29,2020-11-22,0.0,8,26,20,52,0.0,0.0,0,17,37,0,26,27,44,42,44,0,100,30,17.0,14,0.0,23,23,0.0,0.0,17.0,0,16,25.0,19,31,0,0,54,37,0,35,0,M,Lorraine
30,2020-11-29,54.0,0,34,45,0,30.0,0.0,0,89,26,0,36,44,44,26,49,0,24,34,0.0,31,0.0,18,19,0.0,0.0,0.0,0,50,35.0,16,27,10,0,54,38,8,30,0,M,Lorraine
31,2020-12-06,39.0,0,43,15,61,0.0,0.0,0,0,31,70,32,37,54,47,70,0,0,59,0.0,28,0.0,24,22,0.0,0.0,16.0,0,49,0.0,18,77,27,0,50,68,11,37,23,M,Lorraine
32,2020-12-13,0.0,8,37,48,28,29.0,0.0,35,0,18,0,36,53,34,41,47,0,0,74,0.0,35,0.0,22,23,0.0,32.0,0.0,0,45,0.0,23,48,0,0,48,45,0,42,0,M,Lorraine
33,2020-12-20,0.0,0,30,36,17,42.0,0.0,0,34,37,0,57,0,26,41,54,15,0,22,0.0,18,0.0,0,28,0.0,0.0,26.0,0,27,0.0,14,37,37,25,71,18,5,0,0,M,Lorraine
34,2020-12-27,0.0,4,48,38,0,36.0,0.0,0,32,27,0,63,23,11,12,45,0,31,16,0.0,31,0.0,13,26,0.0,0.0,0.0,52,40,39.0,6,71,27,0,57,33,6,32,46,M,Lorraine
35,2021-01-03,0.0,21,32,25,47,0.0,0.0,52,49,25,49,73,35,51,0,71,0,20,33,0.0,26,0.0,14,29,32.0,0.0,0.0,0,46,0.0,0,35,14,26,59,40,0,22,17,M,Lorraine
36,2021-01-10,0.0,12,51,11,49,29.0,0.0,0,20,11,36,32,30,47,24,66,0,45,29,0.0,18,0.0,0,27,0.0,0.0,20.0,0,30,20.0,20,0,16,0,56,42,4,23,0,M,Lorraine
37,2021-01-17,0.0,25,40,0,53,0.0,0.0,40,0,22,22,40,34,50,64,69,0,28,47,0.0,64,0.0,0,26,23.0,0.0,0.0,16,34,0.0,18,20,0,28,68,35,10,44,0,M,Lorraine
38,2021-01-24,0.0,6,39,0,37,0.0,0.0,0,0,23,0,59,31,44,16,73,6,20,12,0.0,31,0.0,43,29,0.0,0.0,0.0,20,34,0.0,43,46,17,0,57,41,6,0,0,M,Lorraine
39,2021-01-31,0.0,16,46,0,35,29.0,0.0,22,22,23,0,43,9,56,35,38,0,51,48,0.0,24,0.0,44,24,0.0,68.0,0.0,0,0,0.0,21,0,71,0,49,26,12,49,0,M,Lorraine
40,2021-02-07,0.0,11,39,0,33,0.0,0.0,58,33,34,0,64,46,55,73,54,0,0,53,0.0,24,0.0,27,23,35.0,0.0,0.0,0,16,0.0,20,35,22,48,52,31,0,42,70,M,Lorraine
41,2021-02-14,100.0,10,49,9,72,0.0,0.0,0,38,38,23,52,49,64,39,67,20,20,35,42.0,34,24.0,12,19,0.0,34.0,0.0,0,50,0.0,36,0,18,0,71,35,0,0,22,M,Lorraine
42,2021-02-21,0.0,14,56,27,57,0.0,0.0,24,42,39,0,59,47,53,48,65,8,0,40,0.0,32,0.0,17,22,0.0,0.0,0.0,0,31,0.0,9,0,0,0,48,32,0,46,0,M,Lorraine
43,2021-02-28,0.0,8,48,65,0,59.0,0.0,42,22,26,29,41,43,56,43,81,0,38,24,0.0,36,0.0,15,19,0.0,0.0,0.0,0,66,41.0,0,0,29,0,50,28,0,43,17,M,Lorraine
