,dep,semaine,pop,P,T,Ti,Tp,Td,cl_age90
0,1,2020-S20,"656955,00","23,00","1407,00","3,50","1,63","214,17",0
1,1,2020-S21,"656955,00","41,00","2322,00","6,24","1,77","353,45",0
2,1,2020-S22,"656955,00","19,00","2187,00","2,89","0,87","332,90",0
3,2,2020-S20,"526050,00","52,00","1380,00","9,88","3,77","262,33",0
4,2,2020-S21,"526050,00","41,00","1311,00","7,79","3,13","249,22",0
5,2,2020-S22,"526050,00","43,00","1730,00","8,17","2,49","328,87",0
6,3,2020-S20,"331315,00","7,00","599,00","2,11","1,17","180,79",0
7,3,2020-S21,"331315,00","27,00","1130,00","8,15","2,39","341,07",0
8,3,2020-S22,"331315,00","9,00","1091,00","2,72","0,82","329,29",0
9,4,2020-S20,"165197,00","4,00","357,00","2,42","1,12","216,11",0
10,4,2020-S21,"165197,00","4,00","482,00","2,42","0,83","291,77",0
11,4,2020-S22,"165197,00","2,00","568,00","1,21","0,35","343,83",0
12,5,2020-S20,"141756,00","7,00","156,00","4,94","4,49","110,05",0
13,5,2020-S21,"141756,00","9,00","332,00","6,35","2,71","234,21",0
14,5,2020-S22,"141756,00","2,00","481,00","1,41","0,42","339,32",0
15,6,2020-S20,"1079396,00","68,00","3107,00","6,30","2,19","287,85",0
16,6,2020-S21,"1079396,00","75,00","5575,00","6,95","1,35","516,49",0
17,6,2020-S22,"1079396,00","47,00","5628,00","4,35","0,84","521,40",0
18,7,2020-S20,"326875,00","13,00","403,00","3,98","3,23","123,29",0
19,7,2020-S21,"326875,00","7,00","565,00","2,14","1,24","172,85",0
20,7,2020-S22,"326875,00","19,00","656,00","5,81","2,90","200,69",0
21,8,2020-S20,"265531,00","15,00","413,00","5,65","3,63","155,54",0
22,8,2020-S21,"265531,00","15,00","639,00","5,65","2,35","240,65",0
23,8,2020-S22,"265531,00","7,00","633,00","2,64","1,11","238,39",0
24,9,2020-S20,"152398,00","1,00","201,00","0,66","0,50","131,89",0
25,9,2020-S21,"152398,00","0,00","247,00","0,00","0,00","162,08",0
